,product_links,product_name,product_price
0,https://m.media-amazon.com/images/I/61lUOdLYtwL._AC_UL320_.jpg,"Ek Retail Shop Car Body Covers for Hyundai i10 Grand Magna at 1.2 Kappa VTVT with Mirror Pockets, Triple Stitching & Light Weight (Navy Blue & RED Color)",999
1,https://m.media-amazon.com/images/I/51X2SPSXx+L._AC_UL320_.jpg,ROYALS CHOICE Water Resistant Car Cover for New Maruti Suzuki Wagon R VXI Opt 1.2 2019 (Strips Red with Mirror Pockets),"1,189"
2,https://m.media-amazon.com/images/I/71EGJz+SeqL._AC_UL320_.jpg,CARMATE Parachute Custom Fitting Waterproof Car Body Cover for Chevrolet Sail Uva - Blue (Without Side Mirror & Antenna Pockets),"1,417"
3,https://m.media-amazon.com/images/I/617MTDTXtzL._AC_UL320_.jpg,"EKRS Waterproof Car Body Covers for Hyundai Venue with Mirror Pockets, Triple Stitching & Light Weight (Navy Blue & RED Color)","1,399"
4,https://m.media-amazon.com/images/I/61vb6LHsqpL._AC_UL320_.jpg,boAt Dual Port Rapid Car Charger (Qualcomm Certified) with Quick Charge 3.0 + Free Micro USB Cable - (Black),499
5,https://m.media-amazon.com/images/I/71SJiQ4wAbL._AC_UL320_.jpg,Kawachi Car Travel Inflatable Sofa Mattress Air Bed Cushion Camping Bed Rear Seat With Pillow And Pump,"1,690"
6,https://m.media-amazon.com/images/I/71YlfEoxSYL._AC_UL320_.jpg,Lukzer 1 PC Leather PU Car Console Side Storage Organizer Seat Gap Filler Pockets Catch Caddy (Black),649
7,https://m.media-amazon.com/images/I/71F7eODBQgL._AC_UL320_.jpg,RNG EKO Green RNG-2001 Car Handheld Vacuum Cleaner (White),"1,545"
8,https://m.media-amazon.com/images/I/71v6o+eJLdL._AC_UL320_.jpg,AmazonBasics Compact Portable Digital Tyre Inflator with Carrying Case,"2,149"
9,https://m.media-amazon.com/images/I/51jVgbeQmHL._AC_UL320_.jpg,"LAZI Multipurpose Car AC vent Interior Dust Cleaning Gel Jelly Detailing Putty Cleaner Kit Universal Car Interior, Keyboard, PC, Latop, Electronic Gadget Cleaning Kit (PACK OF 1)",199
